Tipo de instalação,Posição,Dimensão,Descrição do risco,Risco alto (4-5) %,Média Likert
Operador Portuário,1,Econômica,Ação do crime organizado e atividades ilícitas de empresas e pessoas.,80.0,4.4
Operador Portuário,2,Econômica,Instabilidade política.,80.0,3.8
Operador Portuário,3,Econômica,Corrupção.,80.0,4.0
Operador Portuário,4,Econômica,Desequilíbrio econômico regional.,80.0,3.8
Operador Portuário,5,Econômica,Aumento da inflação.,60.0,3.6
Operador Portuário,6,Econômica,Aumento de impostos.,60.0,3.4
Operador Portuário,7,Econômica,Excesso regulatório.,60.0,3.8
Operador Portuário,8,Geopolítica,"Conflitos geoeconômicos (bloqueios, sanções, restrições tarifárias, redução de investimentos).",60.0,3.8
Operador Portuário,9,Social,"Maior uso de tecnologias (IA, mecanização, robotização).",60.0,3.2
Operador Portuário,10,Tecnológica,Consequências indesejáveis pela aplicação de tecnologias ou IA.,60.0,3.4
Privado (TUP),1,Econômica,Aumento de impostos.,53.12,3.34
Privado (TUP),2,Econômica,Instabilidade política.,53.12,3.38
Privado (TUP),3,Econômica,Corrupção.,50.0,3.25
Privado (TUP),4,Econômica,Conflito ou instabilidade institucional do Estado.,50.0,2.94
Privado (TUP),5,Econômica,Excesso regulatório.,43.75,3.25
Privado (TUP),6,Econômica,"Falhas, interrupções ou disrupções em cadeias de suprimentos relevantes.",34.38,2.81
Privado (TUP),7,Econômica,"Disrupções em infraestruturas críticas (físicas e digitais) ou serviços que sustentam sistemas críticos (internet, telecomunicações, serviços públicos, sistemas financeiros ou energia).",34.38,2.88
Privado (TUP),8,Econômica,Diminuição (estagnação) do ritmo e da dinâmica das atividades econômicas.,34.38,2.72
Privado (TUP),9,Tecnológica,Escassez de mão de obra qualificada na área de tecnologia,34.38,3.06
Privado (TUP),10,Econômica,Desequilíbrio econômico regional.,31.25,2.78
Público (Porto Organizado),1,Geopolítica,"Conflitos geoeconômicos (bloqueios, sanções, restrições tarifárias, redução de investimentos).",53.62,3.39
Público (Porto Organizado),2,Econômica,"Disrupções em infraestruturas críticas (físicas e digitais) ou serviços que sustentam sistemas críticos (internet, telecomunicações, serviços públicos, sistemas financeiros ou energia).",50.72,3.22
Público (Porto Organizado),3,Econômica,Instabilidade política.,47.83,3.45
Público (Porto Organizado),4,Tecnológica,Escassez de mão de obra qualificada na área de tecnologia,47.83,3.35
Público (Porto Organizado),5,Econômica,Excesso regulatório.,46.38,3.25
Público (Porto Organizado),6,Econômica,"Falhas, interrupções ou disrupções em cadeias de suprimentos relevantes.",43.48,3.07
Público (Porto Organizado),7,Econômica,Aumento de impostos.,43.48,3.07
Público (Porto Organizado),8,Tecnológica,Falta de segurança computacional e de comunicação.,43.48,3.07
Público (Porto Organizado),9,Tecnológica,Custo de implementação de novas tecnologias,42.03,3.12
Público (Porto Organizado),10,Econômica,Corrupção.,40.58,3.03
Reguladores e Planejadores,1,Econômica,"Disrupções em infraestruturas críticas (físicas e digitais) ou serviços que sustentam sistemas críticos (internet, telecomunicações, serviços públicos, sistemas financeiros ou energia).",77.78,4.0
Reguladores e Planejadores,2,Econômica,Especulação e crise no mercado de ativos financeiros.,55.56,3.22
Reguladores e Planejadores,3,Econômica,Endividamento público.,55.56,3.56
Reguladores e Planejadores,4,Econômica,"Falhas, interrupções ou disrupções em cadeias de suprimentos relevantes.",55.56,3.33
Reguladores e Planejadores,5,Econômica,Instabilidade política.,55.56,3.33
Reguladores e Planejadores,6,Ambiental,"Eventos que possam impactar acessos e operações portuárias, como deslizamentos ou desmoronamentos de encostas e margens (terras caídas) e o assoreamento acelerado de rios e canais de navegação.",55.56,3.56
Reguladores e Planejadores,7,Ambiental,"Introdução de espécies exóticas, organismos aquáticos nocivos e agentes patogênicos.",55.56,3.11
Reguladores e Planejadores,8,Geopolítica,Conflitos armados entre nações.,55.56,3.56
Reguladores e Planejadores,9,Social,Falhas na gestão de crises e na resposta a emergências.,55.56,3.44
Reguladores e Planejadores,10,Tecnológica,Falta de segurança computacional e de comunicação.,55.56,3.33
Terminal Arrendado,1,Econômica,Excesso regulatório.,50.0,3.2
Terminal Arrendado,2,Econômica,Corrupção.,50.0,3.3
Terminal Arrendado,3,Tecnológica,Falta de segurança computacional e de comunicação.,50.0,2.7
Terminal Arrendado,4,Econômica,Endividamento público.,40.0,2.8
Terminal Arrendado,5,Econômica,Instabilidade política.,40.0,3.2
Terminal Arrendado,6,Geopolítica,"Conflitos geoeconômicos (bloqueios, sanções, restrições tarifárias, redução de investimentos).",40.0,3.0
Terminal Arrendado,7,Tecnológica,Vulnerabilidades dos sistemas de comunicação e dispositivos de Internet das Coisas,40.0,2.6
Terminal Arrendado,8,Tecnológica,Desenvolvimento inseguro e falhas na incorporação de segurança por design,40.0,2.7
Terminal Arrendado,9,Econômica,Aumento de impostos.,30.0,2.6
Terminal Arrendado,10,Econômica,Desequilíbrio econômico regional.,30.0,2.5
